height_m,Delta_SCM_m2,Delta_closure_m2,Delta_geom_m2,tau_dz_m2
73.0,-6.2597128116893686,-16.497671153165548,11.573504262380899,-1.3355459209047198
74.0,-1.918289823520455,-12.302731344757488,11.419195167726793,-1.0347536464897598
75.0,1.0255922698360007,-8.857848613911575,10.617402255822375,-0.7339613720747998
76.0,1.6018807922690301,-7.3094332408405505,9.34448313076942,-0.43316909765983985
77.0,-4.315654604719444,-11.961915358178631,7.778637576704067,-0.13237682324487984
78.0,8.690801466400146,2.423168644846317,6.099217370383748,0.16841545117008005
79.0,5.81764146971188,0.8622036516745525,4.4862300924522875,0.46920772558504004
80.0,4.2,0.31,3.12,0.77
81.0,2.874565917316934,0.12840756340303125,2.1343410657760145,0.6118172881378886
82.0,1.9912449039285223,0.060883971131707564,1.4767263565210376,0.4536345762757773
83.0,1.3757440849968716,0.03193524773683966,1.048356972846366,0.29545186441366583
84.0,0.9060918061533347,0.0177776876595785,0.7510449659422016,0.13726915255155456
85.0,0.4768697892054238,0.010045989869249946,0.4877373586467308,-0.020913559310556946
86.0,-0.009936747300074655,0.005708444741641372,0.16345107913095228,-0.1790962711726683
87.0,-0.6470600540676227,0.0033160175715641537,-0.3130970886044071,-0.3372789830347797
88.0,-1.520265844946975,0.001813375308882437,-1.0266175253589664,-0.49546169489689107
89.0,-2.703529139294628,0.00019652495007817944,-2.050081257485704,-0.6536444067590025
90.0,-1.5212518879748311,-0.001773327956448275,-3.1613521603007206,1.6418736002823378
91.0,0.9235371993290467,-0.0011547519069188524,-3.012699656087712,3.937391607323678
92.0,6.276636383824438,0.006403035788206235,0.03732373367121209,6.23290961436502
93.0,-11.647279269367402,0.03142017409685813,4.929098665443559,-16.60779810890782
94.0,-40.309754839036906,0.03933886310832345,-0.900587869964576,-39.44850583218065
95.0,85.1367489344939,-0.10390652108168026,-45.50693975946355,130.74759521503913
96.0,-2512.7760165979566,1.0572806315680436,-2707.13774021229,193.30444298276512
97.0,-20731.79237832494,17.120859995970793,-18864.189778633998,-1884.7234596869118
98.0,-122613.4164671909,-34.848011149664515,-130931.19601836159,8352.627562320358
99.0,-542613.9710465075,-2921.357425162025,-520130.6894355725,-19561.924185772903
100.0,-77374.71228035116,179.43002074687902,-99467.22206118204,21913.079760083998
101.0,-13416.88450271112,-2734.7015975202517,-886.253097297031,-9795.929807893837
102.0,-53845.30708421873,-602.8658012033342,-52996.67289671853,-245.76838629685915
103.0,-456673.9159068295,21.22257381083572,-457428.47788892617,733.3394082858009
104.0,-168204.40465246123,-1.046566194669428,-168527.08332041805,323.7252341514979
105.0,-20538.20189436435,0.4154993529653847,-20452.72845373451,-85.888939982805
106.0,-4929.703694488994,0.2806667329980097,-4889.303190220084,-40.681171001907984
107.0,-3129.3216609051365,0.05296504804746905,-3133.9012239321733,4.526597978989027
108.0,-5.0365671562833665,0.012259137561000487,-8.832920416285722,3.784094122441355
109.0,-4.1173606857634795,0.004218381654794081,-7.163169333311957,3.0415902658936838
110.0,-5.37171968924948,-0.0011348863378053797,-7.669671212257687,2.299086409346012
111.0,-3.2205127532617754,-0.0033245700617969324,-4.773770735998319,1.5565825527983406
112.0,-0.9616651136910574,-0.00200857749194459,-1.7737352324497815,0.8140786962506685
113.0,0.45382039166745985,0.0007202452391316623,0.3815253067253313,0.07157483970299688
114.0,0.9551293309863123,0.0034506080583580744,1.622607739772629,-0.6709290168446749
115.0,0.6039838088720069,0.00757546853483663,2.0098412137295165,-1.4134328733923465
116.0,0.9912079557809504,0.01577812098472983,1.7019127176186826,-0.726482882822462
117.0,1.0584971291196033,0.02972253666685664,1.0683074847053242,-0.03953289225257745
118.0,1.2237190340886204,0.05132176421187927,0.5249801715594339,0.6474170983173071
119.0,1.910402908232534,0.09149321406499474,0.48454260528034776,1.3343670888871915
