timestamp,height,C_M,Ri_g,z_llj,h_inv
0.0000,38.22,0.995158,0.000005,45.0000,15.0000
0.0000,38.62,0.939344,0.000005,45.0000,15.0000
0.0000,39.01,0.732798,0.000005,45.0000,15.0000
0.0000,39.41,0.532137,0.000005,45.0000,15.0000
0.0000,39.81,0.500836,0.000005,45.0000,15.0000
0.0000,40.20,0.998714,-0.034001,45.0000,15.0000
0.0000,40.60,0.998849,-0.034336,45.0000,15.0000
0.0000,40.99,0.998951,-0.034670,45.0000,15.0000
0.0000,41.39,0.999030,-0.035005,45.0000,15.0000
0.0000,41.79,0.999093,-0.035339,45.0000,15.0000
0.0000,42.18,0.999144,-0.035674,45.0000,15.0000
0.0000,42.58,0.999185,-0.036008,45.0000,15.0000
0.0000,42.97,0.999218,-0.036343,45.0000,15.0000
0.0000,43.37,0.999245,-0.036677,45.0000,15.0000
0.0000,43.77,0.999266,-0.037012,45.0000,15.0000
0.0000,44.16,0.999283,-0.037346,45.0000,15.0000
0.0000,44.56,0.999295,-0.037681,45.0000,15.0000
0.0000,44.95,0.999304,-0.038015,45.0000,15.0000
0.0000,45.35,0.999309,-0.038350,45.0000,15.0000
0.0000,45.74,0.999311,-0.038685,45.0000,15.0000
0.0000,46.14,0.999309,-0.039019,45.0000,15.0000
0.0000,46.54,0.999304,-0.039354,45.0000,15.0000
0.0000,46.93,0.999295,-0.039688,45.0000,15.0000
0.0000,47.33,0.999282,-0.040023,45.0000,15.0000
0.0000,47.72,0.999264,-0.040358,45.0000,15.0000
0.0000,48.12,0.999242,-0.040692,45.0000,15.0000
0.0000,48.52,0.999213,-0.041027,45.0000,15.0000
0.0000,48.91,0.999177,-0.041362,45.0000,15.0000
0.0000,49.31,0.999132,-0.041696,45.0000,15.0000
0.0000,49.70,0.999074,-0.042031,45.0000,15.0000
0.0000,50.10,0.535892,0.000266,45.0000,15.0000
0.0000,50.50,0.744187,0.000268,45.0000,15.0000
0.0000,50.89,0.965886,0.000270,45.0000,15.0000
0.0000,51.29,0.994441,0.000272,45.0000,15.0000
0.0000,51.68,0.998567,0.000274,45.0000,15.0000
0.0000,52.08,0.998268,0.000276,45.0000,15.0000
0.0000,52.48,0.998237,0.000279,45.0000,15.0000
0.0000,52.87,0.998028,0.000281,45.0000,15.0000
0.0000,53.27,0.997821,0.000283,45.0000,15.0000
0.0000,53.66,0.997562,0.000285,45.0000,15.0000
0.0000,54.06,0.997253,0.000287,45.0000,15.0000
0.0000,54.46,0.996877,0.000289,45.0000,15.0000
0.0000,54.85,0.996412,0.000291,45.0000,15.0000
0.0000,55.25,0.995831,0.000293,45.0000,15.0000
0.0000,55.64,0.995092,0.000295,45.0000,15.0000
0.0000,56.04,0.994131,0.000298,45.0000,15.0000
0.0000,56.44,0.992855,0.000300,45.0000,15.0000
0.0000,56.83,0.991090,0.000302,45.0000,15.0000
0.0000,57.23,0.988638,0.000304,45.0000,15.0000
0.0000,57.62,0.984592,0.000306,45.0000,15.0000
0.0000,58.02,0.977712,0.000308,45.0000,15.0000
0.0000,58.42,0.925318,0.000310,45.0000,15.0000
0.0000,58.81,0.646951,0.000312,45.0000,15.0000
0.0000,59.21,0.507038,0.000314,45.0000,15.0000
0.0000,59.60,0.500923,0.000316,45.0000,15.0000
0.0000,60.00,0.499565,0.000319,45.0000,15.0000
0.5000,1.00,0.499975,0.003718,44.1667,15.8333
0.5000,1.40,0.494475,0.005190,44.1667,15.8333
0.5000,1.79,0.494804,0.006661,44.1667,15.8333
0.5000,2.19,0.468170,0.008126,44.1667,15.8333
0.5000,2.58,0.463721,0.009586,44.1667,15.8333
0.5000,2.98,0.440560,0.011042,44.1667,15.8333
0.5000,3.38,0.411699,0.012492,44.1667,15.8333
0.5000,3.77,0.407341,0.013938,44.1667,15.8333
0.5000,4.17,0.067293,0.015380,44.1667,15.8333
0.5000,4.56,0.471401,0.016818,44.1667,15.8333
0.5000,4.96,0.498367,0.018252,44.1667,15.8333
0.5000,5.36,0.480142,0.034172,44.1667,15.8333
0.5000,5.75,0.390571,0.036670,44.1667,15.8333
0.5000,6.15,0.431507,0.039165,44.1667,15.8333
0.5000,6.54,0.413852,0.041657,44.1667,15.8333
0.5000,6.94,0.410497,0.044147,44.1667,15.8333
0.5000,7.34,0.405145,0.046634,44.1667,15.8333
0.5000,7.73,0.396901,0.049119,44.1667,15.8333
0.5000,8.13,0.408843,0.051601,44.1667,15.8333
0.5000,8.52,0.319923,0.054081,44.1667,15.8333
0.5000,8.92,0.468986,0.056559,44.1667,15.8333
0.5000,9.32,0.468192,0.059034,44.1667,15.8333
0.5000,9.71,0.499740,0.061507,44.1667,15.8333
0.5000,10.11,0.481894,0.009777,44.1667,15.8333
0.5000,10.50,0.256379,0.010158,44.1667,15.8333
0.5000,10.90,0.983766,0.010538,44.1667,15.8333
0.5000,11.30,0.938695,0.010918,44.1667,15.8333
0.5000,11.69,0.977390,0.011298,44.1667,15.8333
0.5000,12.09,0.968542,0.011678,44.1667,15.8333
0.5000,12.48,0.970853,0.012059,44.1667,15.8333
0.5000,12.88,0.970098,0.012438,44.1667,15.8333
0.5000,13.28,0.970230,0.012818,44.1667,15.8333
0.5000,13.67,0.970181,0.013198,44.1667,15.8333
0.5000,14.07,0.970224,0.013578,44.1667,15.8333
0.5000,14.46,0.970274,0.013958,44.1667,15.8333
0.5000,14.86,0.970339,0.014337,44.1667,15.8333
0.5000,15.26,0.970406,0.014717,44.1667,15.8333
0.5000,15.65,0.970459,0.015097,44.1667,15.8333
0.5000,16.05,0.970507,0.015476,44.1667,15.8333
0.5000,16.44,0.970471,0.015856,44.1667,15.8333
0.5000,16.84,0.970592,0.016235,44.1667,15.8333
0.5000,17.23,0.969920,0.016615,44.1667,15.8333
0.5000,17.63,0.971934,0.016994,44.1667,15.8333
0.5000,18.03,0.963120,0.017373,44.1667,15.8333
0.5000,18.42,0.989123,0.017753,44.1667,15.8333
0.5000,18.82,0.802470,0.018132,44.1667,15.8333
0.5000,19.21,0.278762,0.018511,44.1667,15.8333
0.5000,19.61,0.494929,0.018890,44.1667,15.8333
0.5000,20.01,0.013997,0.006919,44.1667,15.8333
0.5000,20.40,0.922748,0.007056,44.1667,15.8333
0.5000,20.80,0.993303,0.007193,44.1667,15.8333
0.5000,21.19,0.998296,0.007329,44.1667,15.8333
0.5000,21.59,0.998655,0.007466,44.1667,15.8333
0.5000,21.99,0.998630,0.007602,44.1667,15.8333
0.5000,22.38,0.998569,0.007739,44.1667,15.8333
0.5000,22.78,0.998499,0.007876,44.1667,15.8333
0.5000,23.17,0.998415,0.008012,44.1667,15.8333
0.5000,23.57,0.998315,0.008149,44.1667,15.8333
0.5000,23.97,0.998193,0.008286,44.1667,15.8333
0.5000,24.36,0.998042,0.008422,44.1667,15.8333
0.5000,24.76,0.997849,0.008559,44.1667,15.8333
0.5000,25.15,0.997595,0.008696,44.1667,15.8333
0.5000,25.55,0.997247,0.008832,44.1667,15.8333
0.5000,25.95,0.996742,0.008969,44.1667,15.8333
0.5000,26.34,0.995947,0.009106,44.1667,15.8333
0.5000,26.74,0.994526,0.009242,44.1667,15.8333
0.5000,27.13,0.991215,0.009379,44.1667,15.8333
0.5000,27.53,0.976096,0.009516,44.1667,15.8333
0.5000,27.93,0.972054,0.009652,44.1667,15.8333
0.5000,28.32,0.991659,0.009789,44.1667,15.8333
0.5000,28.72,0.980850,0.009926,44.1667,15.8333
0.5000,29.11,0.913745,0.010062,44.1667,15.8333
0.5000,29.51,0.648449,0.010199,44.1667,15.8333
0.5000,29.91,0.505579,0.010336,44.1667,15.8333
0.5000,30.30,0.679822,0.001578,44.1667,15.8333
0.5000,30.70,0.987392,0.001599,44.1667,15.8333
0.5000,31.09,0.979491,0.001620,44.1667,15.8333
0.5000,31.49,0.993758,0.001640,44.1667,15.8333
0.5000,31.89,0.992117,0.001661,44.1667,15.8333
0.5000,32.28,0.993457,0.001681,44.1667,15.8333
0.5000,32.68,0.993890,0.001702,44.1667,15.8333
0.5000,33.07,0.994424,0.001723,44.1667,15.8333
0.5000,33.47,0.994843,0.001743,44.1667,15.8333
0.5000,33.87,0.995217,0.001764,44.1667,15.8333
0.5000,34.26,0.995543,0.001784,44.1667,15.8333
0.5000,34.66,0.995832,0.001805,44.1667,15.8333
0.5000,35.05,0.996089,0.001826,44.1667,15.8333
0.5000,35.45,0.996319,0.001846,44.1667,15.8333
0.5000,35.85,0.996531,0.001867,44.1667,15.8333
0.5000,36.24,0.996707,0.001888,44.1667,15.8333
0.5000,36.64,0.996925,0.001908,44.1667,15.8333
0.5000,37.03,0.996919,0.001929,44.1667,15.8333
0.5000,37.43,0.997618,0.001949,44.1667,15.8333
0.5000,37.83,0.995493,0.001970,44.1667,15.8333
0.5000,38.22,0.999650,0.001991,44.1667,15.8333
0.5000,38.62,0.940449,0.002011,44.1667,15.8333
0.5000,39.01,0.743920,0.002032,44.1667,15.8333
0.5000,39.41,0.529148,0.002052,44.1667,15.8333
0.5000,39.81,0.500693,0.002073,44.1667,15.8333
0.5000,40.20,0.999817,-0.078927,44.1667,15.8333
0.5000,40.60,0.999825,-0.079702,44.1667,15.8333
0.5000,40.99,0.999832,-0.080477,44.1667,15.8333
0.5000,41.39,0.999838,-0.081253,44.1667,15.8333
0.5000,41.79,0.999842,-0.082028,44.1667,15.8333
0.5000,42.18,0.999846,-0.082803,44.1667,15.8333
0.5000,42.58,0.999850,-0.083579,44.1667,15.8333
0.5000,42.97,0.999852,-0.084354,44.1667,15.8333
0.5000,43.37,0.999854,-0.085130,44.1667,15.8333
0.5000,43.77,0.999856,-0.085905,44.1667,15.8333
0.5000,44.16,0.999856,-0.086680,44.1667,15.8333
0.5000,44.56,0.999857,-0.087456,44.1667,15.8333
0.5000,44.95,0.999857,-0.088231,44.1667,15.8333
0.5000,45.35,0.999856,-0.089007,44.1667,15.8333
0.5000,45.74,0.999855,-0.089783,44.1667,15.8333
0.5000,46.14,0.999853,-0.090558,44.1667,15.8333
0.5000,46.54,0.999851,-0.091334,44.1667,15.8333
0.5000,46.93,0.999847,-0.092109,44.1667,15.8333
0.5000,47.33,0.999844,-0.092885,44.1667,15.8333
0.5000,47.72,0.999839,-0.093661,44.1667,15.8333
0.5000,48.12,0.999833,-0.094436,44.1667,15.8333
0.5000,48.52,0.999826,-0.095212,44.1667,15.8333
0.5000,48.91,0.999818,-0.095988,44.1667,15.8333
0.5000,49.31,0.999807,-0.096764,44.1667,15.8333
0.5000,49.70,0.999794,-0.097540,44.1667,15.8333
0.5000,50.10,0.999779,-0.001478,44.1667,15.8333
0.5000,50.50,0.999761,-0.001489,44.1667,15.8333
0.5000,50.89,0.999741,-0.001501,44.1667,15.8333
0.5000,51.29,0.999718,-0.001513,44.1667,15.8333
0.5000,51.68,0.999691,-0.001524,44.1667,15.8333
