time_hrs,z_m,theta_smooth_K,U_smooth_m_s,Ri_g,zeta_BD,zeta_G07,C_const_G07,C_coord_G07,fold_ratio,kappa_G07,is_jet_nose
475199.928,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
475199.928,10.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
489600.048,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
489600.048,10.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
503999.976,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
503999.976,10.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
518399.928,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
518399.928,10.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
532800.048,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
532800.048,10.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
547199.976,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
547199.976,10.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
561600.096,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
561600.096,10.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
576000.048,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
576000.048,10.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
590399.976,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
590399.976,10.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
604800.096,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
604800.096,10.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
619200.048,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
619200.048,10.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
633599.976,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
633599.976,10.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
648000.096,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
648000.096,10.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
662400.048,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
662400.048,10.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
676799.976,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
676799.976,10.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
691200.096,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
691200.096,10.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
705600.048,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
705600.048,10.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
719999.976,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
719999.976,10.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
734400.096,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
734400.096,10.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
748800.048,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
748800.048,10.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
763199.976,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
763199.976,10.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
777600.096,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
777600.096,10.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
792000.048,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
792000.048,10.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
806399.976,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
806399.976,10.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
820800.096,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
820800.096,10.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
835200.048,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
835200.048,10.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
849599.976,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
849599.976,10.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
864000.096,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
864000.096,10.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
878400.048,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
878400.048,10.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
892799.976,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
